shape_CD_GEOCODM	date	country	state	city	ibgeID	newDeaths	deaths	newCases	totalCases	deaths_per_100k_inhabitants	totalCases_per_100k_inhabitants	deaths_by_totalCases	X_source	is_last	day1_death	day_10death	day_5death	day1_case	day_100cases	day_10cases	day_25cases	day_50cases	day_75cases	tem_rodo	tem_rodo_1	tem_rodo_2	MapaCD_GEOCODM	MapaTematico	Cluster_Espacial	Label_Cluster_Espacial	ID da observação dos clusters	Cluster 30	Cluster 29	Cluster 28	Cluster 27	Cluster 26	Cluster 25	Cluster 24	Cluster 23	Cluster 22	Cluster 21	Cluster 20	Cluster 19	Cluster 18	
3501806	12/06/2020	Brazil	SP	Am�rico de Campos/SP	3501806	0	0	1	8	0	134,0258	0	SES	TRUE	0	0	0	18389	0	0	0	0	0	0	0	0	20	0	1	Conglomerado 1	3501806	1	1	1	1	1	1	1	1	1	1	1	1	1	
3501905	12/06/2020	Brazil	SP	Amparo/SP	3501905	0	5	0	87	6,92569	120,50696	0,05747	SES	TRUE	18387	0	36	18363	0	19	46	54	56	0	0	0	21	0	2	Conglomerado 2	3501905	2	2	2	2	2	2	2	2	2	2	2	2	2	
3502002	12/06/2020	Brazil	SP	Anal�ndia/SP	3502002	0	0	0	3	0	60,06006	0	SES	TRUE	0	0	0	18423	0	0	0	0	0	0	1	0	22	0	7	Conglomerado 7	3502002	22	22	22	22	22	22	22	22	22	22	22	22	22	
3502101	12/06/2020	Brazil	SP	Andradina/SP	3502101	0	5	0	42	8,74783	73,48181	0,11905	SES	TRUE	18385	0	33	18367	0	15	34	0	0	1	0	0	23	0	0	Conglomerado 0	3502101	0	0	0	0	0	0	0	0	0	0	0	0	0	
3502200	12/06/2020	Brazil	SP	Angatuba/SP	3502200	0	2	0	32	7,9277	126,84319	0,0625	SES	TRUE	18370	0	0	18370	0	32	47	0	0	0	0	0	24	0	2	Conglomerado 2	3502200	2	2	2	2	2	2	2	2	2	2	2	2	2	
3502309	12/06/2020	Brazil	SP	Anhembi/SP	3502309	0	0	0	2	0	29,7442	0	SES	TRUE	0	0	0	18382	0	0	0	0	0	0	0	0	25	0	7	Conglomerado 7	3502309	22	22	22	22	22	22	22	22	22	22	22	22	22	
3502408	12/06/2020	Brazil	SP	Anhumas/SP	3502408	0	0	0	3	0	72,90401	0	SES	TRUE	0	0	0	18398	0	0	0	0	0	0	0	0	26	0	8	Conglomerado 8	3502408	26	26	26	26	26	26	26	26	26	26	26	26	26	
3502507	12/06/2020	Brazil	SP	Aparecida/SP	3502507	0	0	0	9	0	24,89145	0	SES	TRUE	0	0	0	18370	0	0	0	0	0	0	0	1	27	0	9	Conglomerado 9	3502507	27	27	27	27	27	27	27	27	27	27	27	27	27	
3502606	12/06/2020	Brazil	SP	Aparecida d'Oeste/SP	3502606	0	0	0	1	0	23,83222	0	SES	TRUE	0	0	0	18424	0	0	0	0	0	0	0	0	28	0	1	Conglomerado 1	3502606	1	1	1	1	1	1	1	1	1	1	1	1	1	
3502705	12/06/2020	Brazil	SP	Apia�/SP	3502705	0	0	0	3	0	12,3082	0	SES	TRUE	0	0	0	18367	0	0	0	0	0	0	1	0	29	0	3	Conglomerado 3	3502705	5	5	5	5	5	5	5	5	5	5	5	5	5	
3502754	12/06/2020	Brazil	SP	Ara�ariguama/SP	3502754	0	1	3	28	4,47147	125,20122	0,03571	SES	TRUE	18377	0	0	18363	0	46	61	0	0	0	0	1	30	0	2	Conglomerado 2	3502754	2	2	2	2	2	2	2	2	2	2	2	2	2	
